"Code","Acanthistius_ocellatus","Acanthopagrus_australis","Achoerodus_viridis","Anampses_caeruleopunctatus","Anampses_neoguinaicus","Apogon_limenus","Atractoscion_atelodus","Atypichthys_strigatus","Austrolabrus_maculatus","Bodianus_frenchii","Bodianus_perditio","Brachaelurus_waddi","Canthigaster_callisterna","Caranx_melampygus","Caranx_sexfasciatus","Carcharias_taurus","Centropogon_australis","Chaetodon_flavirostris","Chaetodon_guentheri","Chelmonops_truncatus","Choerodon_venustus","Chromis_hypsilepis","Chromis_weberi","Chrysophrys_auratus","Cirrhilabrus_punctatus","Cirrhitichthys_aprinus","Coris_aygula","Coris_dorsomacula","Coris_picta","Dasyatis_brevicaudata","Dasyatis_thetidis","Dicotylichthys_punctulatus","Dinolestes_lewini","Echeneis_naucrates","Enoplosus_armatus","Epinephelus_cyanopodus","Epinephelus_daemelii","Epinephelus_fasciatus","Epinephelus_undulatostriatus","Eubalichthys_mosaicus","Eupetrichthys_angustipes","Girella_elevata","Glaucosoma_scapulare","Gnathanodon_speciosus","Goniistius_vestitus","Gymnothorax_prasinus","Gymnothorax_prionodon","Gymnothorax_thyrsoidea","Halichoeres_nebulosus","Heniochus_acuminatus","Hypoplectrodes_maccullochi","Kyphosus_sydneyanus","Labroides_dimidiatus","Lutjanus_adetii","Lutjanus_fulviflamma","Lutjanus_russellii","Mecaenichthys_immaculatus","Meuschenia_freycineti","Meuschenia_scaber","Meuschenia_trachylepis","Microcanthus_strigatus","Morwong_fuscus","Myliobatis_australis","Nelusetta_ayraud","Nemadactylus_douglasii","Notolabrus_gymnogenis","Ophthalmolepis_lineolata","Orectolobus_halei","Orectolobus_maculatus","Paracaesio_xanthura","Parapercis_ramsayi","Parapercis_stricticeps","Paraplesiops_bleekeri","Parma_unifasciata","Parupeneus_multifasciatus","Parupeneus_spilurus","Pempheris_affinis","Pempheris_compressa","Plagiotremus_tapeinosoma","Pomacentrus_coelestis","Prionurus_maculatus","Prionurus_microlepidotus","Pseudocaranx_dentex","Pseudolabrus_guentheri","Pseudolabrus_luculentus","Pterocaesio_digramma","Rachycentron_canadum","Rhabdosargus_sarba","Sarda_australis","Schuettea_scalaripinnis","Scorpaena_cardinalis","Scorpis_lineolata","Seriola_dumerili","Seriola_hippos","Seriola_lalandi","Seriola_rivoliana","Seriolina_nigrofasciata","Siganus_fuscescens","Synodus_jaculum","Thalassoma_lunare","Thalassoma_lutescens","Trachinops_taeniatus","Trachurus_novaezelandiae","Trachypoma_macracanthus","Upeneichthys_lineatus","Zanclus_cornutus"
"40AcresN_2002",3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,5,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,3,0,1,0,0,0,0,5,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,42,0,0,0,0,1,0,0,0,6,0,0,0,0,0
"40AcresN_2003",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,2,0,0,0,4,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"40AcresN_2004",2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,40,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,6,87,2,0,0,0,0,0,0,4,1,8,0,0,0,0
"40AcresN_2005",0,0,0,0,0,0,0,180,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,2,0,21,0,0,0,2,0,1,0,0,0,0,0,90,0,0,0,0,0,0,0,0,3,219,0,1,0,0,0,0,0,1,0,2,0,0,0,0
"40AcresN_2006",0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,10,0,1,0,4,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,22,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"40AcresN_2007",1,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,7,2,0,0,0,0,0,4,0,3,0,0,0,0,0,118,3,1,0,0,0,16,0,0,3,49,0,4,0,0,0,1,0,2,2,20,0,0,0,0
"40AcresN_2008",2,0,0,0,0,0,0,30,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,4,3,4,0,1,9,0,0,0,8,0,2,0,1,0,0,0,14,1,0,0,3,0,0,0,0,5,108,0,0,0,0,0,0,1,3,4,16,0,0,0,0
"40AcresN_2009",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,14,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,0,2,0,0,0,0,5,0,3,0,0,0,0,0,5,2,0,0,0,0,0,0,0,5,62,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"40AcresN_2010",0,0,1,0,0,0,0,56,0,0,0,0,0,0,0,1,0,0,4,0,2,55,0,9,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,5,0,4,12,0,0,0,7,0,2,0,0,0,0,0,34,1,0,0,0,0,0,0,0,3,88,0,1,0,2,0,0,0,0,2,34,0,0,0,0
"40AcresN_2011",1,0,0,0,0,0,0,60,0,0,1,1,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,34,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,11,3,3,1,1,0,0,0,0,7,0,3,0,0,0,0,0,51,0,0,0,10,0,0,0,0,5,70,0,0,5,0,0,0,0,3,0,20,0,0,0,0
"40AcresN_2013",4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,9,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,2,3,2,0,0,0,0,6,0,1,0,1,0,0,0,2,6,0,0,1,0,0,5,0,3,56,0,3,0,0,0,0,0,3,5,20,0,0,0,0
"40AcresN_2014",0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,1,0,0,5,0,2,7,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,3,0,1,0,0,0,0,0,52,4,1,0,0,0,0,0,0,0,72,1,1,0,0,0,0,0,3,3,0,0,0,0,0
"40AcresN_2015",1,0,0,1,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,15,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,8,0,2,3,1,0,0,0,41,0,2,0,0,0,0,0,0,1,19,5,1,2,0,0,0,0,6,5,5,0,0,0,0
"40AcresN_2018",2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,5,5,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,5,3,0,14,0,1,0,9,0,3,0,0,0,0,0,25,0,2,1,20,0,0,0,0,2,37,0,1,2,0,0,0,0,3,1,10,0,0,0,0
"40AcresW_2002",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,1,0,4,0,2,0,0,0,0,0,41,0,1,0,0,0,0,0,0,5,53,0,1,0,2,0,0,0,2,1,0,0,0,0,0
"40AcresW_2003",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,4,1,2,0,0,0,0,3,0,1,0,0,0,0,0,5,0,2,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"40AcresW_2004",3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,1,0,0,0,0,7,0,2,0,0,0,0,0,8,0,1,0,0,0,0,0,0,6,111,0,0,0,0,0,0,0,0,2,10,0,0,0,0
"40AcresW_2005",0,0,0,0,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,2,0,4,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,4,13,0,1,0,11,0,1,0,1,0,25,0,0,0,0
"40AcresW_2006",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,6,0,1,0,0,0,0,0,39,0,0,0,0,0,0,0,0,4,54,0,0,0,3,0,0,0,2,1,0,0,0,0,0
"40AcresW_2007",0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,3,0,0,0,2,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40AcresW_2008",3,25,1,0,0,0,0,30,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,9,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,2,0,0,1,0,5,0,2,1,0,0,0,0,51,15,1,0,0,0,0,0,100,4,41,0,6,1,0,0,0,0,2,2,10,0,0,0,0
"40AcresW_2009",1,4,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,24,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,7,2,1,0,0,0,0,6,0,3,2,0,0,0,0,1,1,0,0,0,0,1,0,0,8,109,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"40AcresW_2010",1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,2,0,1,0,0,14,0,0,0,1,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,0,3,3,1,1,0,0,0,0,9,0,4,0,0,0,0,0,61,14,0,0,0,1,0,0,0,4,70,0,5,0,0,0,0,0,0,4,8,0,0,0,0
"40AcresW_2011",1,41,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,6,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,1,0,1,1,0,6,0,1,0,1,0,0,0,52,0,2,0,0,0,15,0,23,6,135,0,2,0,0,0,3,0,4,3,25,0,0,0,0
"40AcresW_2013",2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,1,0,0,1,0,4,0,5,0,0,0,0,0,2,0,2,0,0,0,2,0,0,2,3,0,4,0,0,0,0,0,2,0,0,0,0,0,0
"40AcresW_2014",1,0,2,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,6,0,2,4,0,0,1,0,45,0,0,2,0,0,0,0,0,3,202,1,33,0,0,0,0,0,5,2,28,0,0,0,0
"40AcresW_2015",5,0,0,3,0,0,0,48,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,8,0,0,1,2,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,5,0,2,0,0,1,0,0,0,0,1,2,0,0,1,4,0,3,1,0,0,1,0,7,0,0,1,0,1,14,0,2,0,4,2,0,0,0,0,20,3,57,4,2,0,0,0,0,0,6,2,70,0,0,0,0
"40AcresW_2018",0,0,4,0,0,0,0,23,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,4,3,0,0,0,0,0,6,1,4,2,1,0,0,0,2,7,2,0,0,0,0,0,0,3,4,0,10,0,0,0,0,0,3,2,155,0,0,0,0
"Bullocky_2002",1,6,1,0,0,0,0,80,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,45,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,4,0,1,1,4,0,0,0,55,0,1,0,0,0,12,0,20,4,11,0,0,0,0,0,1,0,2,1,0,1,0,0,0
"Bullocky_2003",2,2,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,1,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,1,0,0,0,14,0,0,4,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Bullocky_2004",0,10,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,8,0,3,0,0,0,0,0,0,12,0,0,0,0,6,0,0,6,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Bullocky_2005",3,4,1,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,8,0,0,0,0,7,0,0,5,27,0,0,0,0,0,0,0,0,0,0,30,1,0,0
"Bullocky_2006",1,2,0,0,0,0,0,45,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,1,0,0,0,12,0,130,6,5,0,0,0,0,0,1,0,0,4,0,0,0,0,0
"Bullocky_2007",1,1,1,0,0,0,0,193,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,61,0,0,0,0,11,0,0,4,3,0,0,3,0,0,1,0,0,1,0,0,0,0,0
"Bullocky_2008",3,2,1,0,0,0,0,75,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,4,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,2,1,0,0,4,7,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,9,1,0,0,0,19,0,25,10,97,0,0,0,0,0,0,0,3,2,0,10,0,0,0
"Bullocky_2009",2,7,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,6,0,5,0,0,0,0,0,1,9,0,0,0,0,3,0,0,11,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bullocky_2010",2,13,1,0,0,0,0,170,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,7,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,11,0,1,0,0,0,0,0,2,24,0,0,0,0,24,0,1,10,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Bullocky_2011",2,15,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,6,0,0,0,1,8,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,7,0,3,0,0,0,0,0,1,3,0,0,0,0,17,0,0,7,1,0,0,0,0,0,1,0,0,0,0,8,0,1,0
"Bullocky_2013",4,22,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,2,0,0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,7,1,0,0,0,2,0,5,0,1,0,0,0,0,0,3,3,0,0,0,0,4,0,0,11,29,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Bullocky_2014",2,3,1,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,1,0,0,0,9,0,0,3,27,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"Bullocky_2015",1,1,1,0,0,0,0,136,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,4,1,0,0,0,15,0,0,6,24,0,0,0,0,0,0,0,2,1,0,11,0,0,1
"Bullocky_2018",1,6,2,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,0,0,0,0,8,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,9,0,5,0,0,0,0,0,1,3,1,1,0,0,17,0,0,4,0,0,0,1,0,0,4,0,3,2,0,2,0,0,0
"Groper_2002",4,0,0,0,0,0,0,25,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,4,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Groper_2003",3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,7,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,16,0,1,0,0,0,0,0,0,1,10,0,0,0,0
"Groper_2004",1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,7,1,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,5,1,2,0,0,0,0
"Groper_2005",1,0,0,0,0,0,0,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,0,0,0,1,0,5,0,1,0,0,0,0,0,5,10,1,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Groper_2006",2,0,4,0,0,0,0,24,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,1,0,0,1,0,9,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,8,120,0,0,1,0,0,0,0,4,2,0,0,0,0,0
"Groper_2007",1,0,0,0,0,0,0,130,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,5,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,1,0,0,0,0,3,0,1,0,2,0,0,0,25,2,0,0,0,0,0,0,0,0,121,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Groper_2008",1,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,7,1,3,2,0,0,0,6,0,1,1,0,0,0,0,9,5,1,0,0,0,0,0,0,9,105,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"Groper_2009",2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,16,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,12,0,1,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,0,0,1,0,0,0,0,0,0,20,0,0,0,0
"Groper_2010",0,0,1,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,2,0,0,1,0,7,0,2,0,0,0,0,2,0,3,1,0,0,0,0,0,0,16,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Groper_2011",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,6,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,4,5,1,0,0,0,0,9,0,4,0,0,0,0,0,15,3,2,1,0,0,0,0,0,13,100,0,0,0,0,0,0,0,4,1,20,0,0,0,0
"Groper_2013",0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,5,0,7,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,10,1,5,0,0,1,1,5,0,2,3,0,0,0,0,7,6,3,0,0,0,0,0,0,7,58,0,0,0,0,0,0,0,1,2,20,0,0,0,0
"Groper_2014",1,0,1,0,0,0,0,80,0,0,1,1,0,0,0,1,0,0,0,0,0,21,0,22,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,1,4,5,5,1,0,0,0,0,4,0,1,0,0,0,0,0,10,3,2,0,0,0,0,0,0,3,5,0,0,15,0,0,0,0,3,1,8,0,0,0,0
"Groper_2015",0,0,1,2,0,0,0,82,1,0,0,1,0,2,0,0,0,0,1,0,2,30,0,23,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,1,6,0,0,0,5,0,1,0,0,0,0,0,2,4,3,0,0,0,1,0,0,5,21,0,0,9,0,0,0,0,7,1,8,1,0,0,0
"Groper_2018",2,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,5,0,0,1,1,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,7,2,0,0,0,0,0,11,1,5,0,0,0,3,0,1,0,4,1,0,0,0,0,0,7,21,0,0,0,0,0,4,0,5,3,1,0,0,0,0
