"Species","Size","Aggr","Posi","Diet"
"A_bengalensis","S3","Solitary","BenthoP","O"
"A_ocellatus","S4","Solitary","Benthic","P"
"A_australis","S5","Group","BenthoP","O"
"A_dussumeri","S5","Group","BenthoP","G"
"A_viridis","S6","Solitary","BenthoP","I"
"A_narinari","S6","Solitary","BenthoP","I"
"A_monoceros","S5","Solitary","BenthoP","I"
"A_caeruleopunctatus","S4","Solitary","BenthoP","I"
"A_lophodon","S4","Solitary","Benthic","B"
"A_limenus","S2","Group","BenthoP","I"
"A_strigatus","S3","Group","BenthoP","PK"
"A_chinensis","S5","Solitary","BenthoP","P"
"A_maculatus","S2","Solitary","BenthoP","I"
"B_frenchii","S4","Solitary","BenthoP","I"
"B_perditio","S5","Solitary","BenthoP","I"
"B_waddi","S6","Solitary","Benthic","I"
"C_callisterna","S3","Solitary","BenthoP","I"
"C_taurus","S6","Solitary","BenthoP","P"
"C_australis","S2","Solitary","Benthic","I"
"C_tibicen","S3","Group","BenthoP","HD"
"C_flavirostris","S3","Pair","BenthoP","O"
"C_guentheri","S3","Solitary","BenthoP","O"
"C_truncatus","S3","Pair","BenthoP","O"
"C_venustus","S5","Solitary","BenthoP","I"
"C_auratus","S6","Group","BenthoP","I"
"C_hypsilepis","S3","Group","BenthoP","PK"
"C_dorsomacula","S4","Solitary","BenthoP","I"
"C_picta","S3","Solitary","BenthoP","I"
"D_brevicaudata","S6","Group","Benthic","I"
"D_lewini","S6","Group","BenthoP","P"
"E_naucrates","S6","Solitary","BenthoP","I"
"E_armatus","S4","Group","BenthoP","I"
"E_daemelii","S6","Solitary","BenthoP","P"
"E_fasciatus","S4","Solitary","BenthoP","P"
"E_undulatostriatus","S5","Solitary","BenthoP","P"
"E_mosaicus","S5","Solitary","BenthoP","I"
"E_angustipes","S2","Solitary","BenthoP","I"
"G_scapulare","S5","Group","BenthoP","P"
"G_vestitus","S4","Solitary","BenthoP","I"
"G_prasinus","S6","Solitary","Benthic","P"
"G_prionodon","S6","Solitary","Benthic","P"
"G_thyrsoidea","S5","Pair","Benthic","P"
"H_acuminatus","S3","Pair","BenthoP","PK"
"H_galeatus","S3","Solitary","Benthic","I"
"H_maccullochi","S6","Solitary","BenthoP","I"
"K_sydneyanus","S4","Group","BenthoP","B"
"L_dimidiatus","S5","Solitary","BenthoP","I"
"L_nebulosus","S2","Solitary","BenthoP","I"
"L_rhacina","S6","Solitary","Benthic","P"
"L_adetii","S4","Group","BenthoP","P"
"L_fulviflamma","S4","Group","BenthoP","P"
"L_russelli","S4","Group","BenthoP","P"
"M_immaculatus","S4","Group","BenthoP","PK"
"M_flavolineata","S2","Pair","BenthoP","HD"
"M_freycineti","S3","Solitary","BenthoP","O"
"M_trachylepis","S4","Solitary","BenthoP","O"
"M_fuscus","S3","Solitary","Benthic","I"
"M_vanicolensis","S5","Group","BenthoP","I"
"M_australis","S4","Solitary","Benthic","I"
"N_ayraudi","S6","Solitary","BenthoP","P"
"N_douglasii","S6","Group","BenthoP","I"
"N_gymnogenis","S6","Solitary","BenthoP","I"
"O_lineolata","S3","Solitary","BenthoP","I"
"O_halei","S4","Solitary","Benthic","P"
"O_maculatus","S6","Solitary","Benthic","P"
"P_xanthura","S6","Group","Pelagic","PK"
"P_ramsayi","S4","Solitary","Benthic","I"
"P_striticeps","S3","Solitary","Benthic","I"
"P_unifasciata","S4","Solitary","BenthoP","HD"
"P_multifasciatus","S3","Group","BenthoP","I"
"P_spilurus","S4","Solitary","BenthoP","I"
"P_affinis","S4","Group","BenthoP","PK"
"P_compressa","S2","Group","BenthoP","PK"
"P_laticlavius","S3","Solitary","BenthoP","I"
"P_teira","S2","Group","BenthoP","B"
"P_flavomaculatus","S5","Solitary","BenthoP","P"
"P_maculatus","S2","Group","BenthoP","G"
"P_microlepidotus","S4","Group","BenthoP","G"
"P_dentex","S5","Group","BenthoP","P"
"P_guentheri","S6","Solitary","BenthoP","I"
"P_luculentus","S3","Solitary","BenthoP","I"
"P_digramma","S3","Group","Pelagic","PK"
"R_sarba","S6","Group","BenthoP","I"
"S_australis","S5","Group","Pelagic","P"
"S_scalaripinnis","S6","Group","BenthoP","PK"
"S_cardinalis","S3","Solitary","Benthic","I"
"S_lineolata","S4","Solitary","BenthoP","B"
"S_dumerili","S5","Group","Pelagic","P"
"S_hippos","S6","Group","Pelagic","P"
"S_lalandi","S6","Group","Pelagic","P"
"S_rivoliana","S5","Group","Pelagic","P"
"S_fuscensens","S6","Group","BenthoP","B"
"S_interrupta","S4","Group","BenthoP","I"
"S_chrysopterus","S2","Solitary","BenthoP","I"
"S_jaculum","S3","Solitary","Benthic","I"
"T_lunare","S2","Solitary","BenthoP","I"
"T_lutescens","S4","Group","BenthoP","I"
"T_taeniatus","S3","Group","BenthoP","PK"
"T_novaezelandiae","S2","Group","BenthoP","PK"
"T_fasciata","S3","Solitary","Benthic","I"
"U_lineatus","S6","Group","BenthoP","I"
"A_neoguinaicus","S3","Group","BenthoP","I"
"A_atelodus","S6","Group","Pelagic","P"
"C_melampygus","S6","Group","Pelagic","P"
"C_sexfasciatus","S7","Group","Pelagic","P"
"C_weberi","S2","Group","BenthoP","PK"
"C_punctatus","S2","Solitary","BenthoP","I"
"C_aprinus","S3","Solitary","BenthoP","I"
"C_aygula","S6","Solitary","BenthoP","I"
"D_thetidis","S6","Solitary","Benthic","I"
"D_punctulatus","S4","Solitary","BenthoP","I"
"E_cyanopodus","S6","Solitary","BenthoP","P"
"G_elevata","S5","Group","BenthoP","B"
"G_speciosus","S6","Group","BenthoP","P"
"H_nebulosus","S2","Group","BenthoP","I"
"M_scaber","S4","Solitary","BenthoP","I"
"M_strigatus","S3","Group","BenthoP","O"
"P_bleekeri","S4","Solitary","Benthic","I"
"P_tapeinosoma","S2","Solitary","Benthic","P"
"P_coelestis","S2","Group","BenthoP","PK"
"R_canadum","S6","Group","BenthoP","P"
"S_nigrofasciata","S5","Solitary","Pelagic","P"
"T_macracanthus","S3","Solitary","Benthic","P"
"Z_cornutus","S3","Pair","BenthoP","I"
"A_dussumieri","S5","Group","BenthoP","G"
"A_nigrofuscus","S3","Group","BenthoP","G"
"C_caerulaurea","S4","Group","Benthic","PK"
"C_cephalotes","S4","Solitary","BenthoP","I"
"C_kleinii","S2","Pair","BenthoP","O"
"C_lophodon","S4","Solitary","Benthic","B"
"C_vestitus","S4","Solitary","BenthoP","I"
"H_annulatus","S4","Solitary","BenthoP","P"
"H_hortulanus","S3","Solitary","BenthoP","I"
"H_margaritaceus","S2","Solitary","BenthoP","I"
"L_cyanopleura","S2","Group","BenthoP","PK"
"N_unicornis","S5","Solitary","BenthoP","B"
"P_hepatus","S4","Solitary","BenthoP","O"
"P_oligolepis","S3","Solitary","BenthoP","HD"
"S_apicalis","S2","Solitary","BenthoP","G"
"S_gascoynei","S4","Group","BenthoP","B"
"S_ghobban","S2","Solitary","BenthoP","G"
"S_nebulosus","S3","Group","Benthic","PK"
"T_jansenii","S3","Group","BenthoP","I"
