Site,Habitat,Year,Transect,PQ,Turf_CCA,Coral,Ecklonia radiata,Other,Macroalgae,Sand,Sponge,Other_invertebrate
McAuleys,Inshore,2019,1,P3200393.JPG,3,1,0,0,2,1,18,0
McAuleys,Inshore,2019,1,P3200394.JPG,12,0,3,4,5,0,1,0
McAuleys,Inshore,2019,1,P3200395.JPG,8,0,6,3,2,0,6,0
McAuleys,Inshore,2019,1,P3200396.JPG,18,0,0,2,3,2,0,0
McAuleys,Inshore,2019,1,P3200397.JPG,9,0,5,0,8,0,3,0
McAuleys,Inshore,2019,1,P3200398.JPG,4,0,10,3,6,0,2,0
McAuleys,Inshore,2019,2,P3200400.JPG,14,0,3,0,0,0,8,0
McAuleys,Inshore,2019,2,P3200401.JPG,4,0,2,2,9,0,8,0
McAuleys,Inshore,2019,2,P3200402.JPG,4,0,10,4,5,2,0,0
McAuleys,Inshore,2019,2,P3200403.JPG,1,0,14,5,3,0,2,0
McAuleys,Inshore,2019,2,P3200404.JPG,2,0,0,3,8,4,8,0
McAuleys,Inshore,2019,2,P3200405.JPG,9,0,1,1,0,0,14,0
McAuleys,Inshore,2019,2,P3200406.JPG,5,0,11,1,0,0,8,0
McAuleys,Inshore,2019,2,P3200407.JPG,1,0,12,5,7,0,0,0
McAuleys,Inshore,2019,3,P3200409.JPG,1,0,15,1,5,0,3,0
McAuleys,Inshore,2019,3,P3200410.JPG,3,0,14,3,1,0,4,0
McAuleys,Inshore,2019,3,P3200411.JPG,3,0,14,2,2,2,2,0
McAuleys,Inshore,2019,3,P3200412.JPG,2,0,18,0,5,0,0,0
McAuleys,Inshore,2019,3,P3200413.JPG,7,0,12,4,1,0,1,0
McAuleys,Inshore,2019,3,P3200414.JPG,3,0,8,0,6,0,8,0
McAuleys,Inshore,2019,3,P3200415.JPG,0,0,23,1,0,0,1,0
McAuleys,Inshore,2019,3,P3200416.JPG,4,0,14,0,2,0,5,0
McAuleys,Inshore,2019,3,P3200417.JPG,0,0,20,2,0,3,0,0
McAuleys,Inshore,2019,3,P3200418.JPG,5,0,16,1,2,0,1,0
McAuleys,Inshore,2019,3,P3200419.JPG,3,0,0,5,10,0,7,0
McAuleys,Inshore,2019,3,P3200420.JPG,0,0,24,0,1,0,0,0
McAuleys,Inshore,2019,4,P3200422.JPG,0,0,20,2,1,0,2,0
McAuleys,Inshore,2019,4,P3200423.JPG,0,0,24,1,0,0,0,0
McAuleys,Inshore,2019,4,P3200424.JPG,4,0,10,1,6,0,4,0
McAuleys,Inshore,2019,4,P3200425.JPG,1,0,21,3,0,0,0,0
McAuleys,Inshore,2019,4,P3200426.JPG,5,0,10,2,0,1,7,0
McAuleys,Inshore,2019,4,P3200427.JPG,1,0,18,5,0,0,1,0
McAuleys,Inshore,2019,4,P3200428.JPG,3,0,15,4,0,0,3,0
McAuleys,Inshore,2019,5,P3200431.JPG,2,0,21,0,1,1,0,0
McAuleys,Inshore,2019,5,P3200432.JPG,1,0,16,1,6,0,1,0
McAuleys,Inshore,2019,5,P3200433.JPG,2,0,7,2,7,0,7,0
McAuleys,Inshore,2019,5,P3200434.JPG,1,0,21,0,3,0,0,0
McAuleys,Inshore,2019,5,P3200435.JPG,6,0,3,3,5,3,5,0
McAuleys,Inshore,2019,5,P3200436.JPG,1,0,5,4,8,0,7,0
McAuleys,Inshore,2019,6,P3200439.JPG,3,0,12,4,1,1,4,0
McAuleys,Inshore,2019,6,P3200440.JPG,2,0,1,2,9,0,11,0
McAuleys,Inshore,2019,6,P3200441.JPG,2,0,14,7,1,1,0,0
McAuleys,Inshore,2019,6,P3200442.JPG,2,0,5,3,7,1,7,0
McAuleys,Inshore,2019,6,P3200443.JPG,2,0,0,2,9,1,11,0
McAuleys,Inshore,2019,6,P3200444.JPG,7,0,0,6,5,1,6,0
McAuleys,Inshore,2019,6,P3200445.JPG,3,0,1,3,5,9,4,0
McAuleys,Inshore,2019,7,P3200448.JPG,4,0,9,1,10,1,0,0
McAuleys,Inshore,2019,7,P3200449.JPG,16,0,1,3,0,4,1,0
McAuleys,Inshore,2019,7,P3200450.JPG,2,0,14,3,0,0,6,0
McAuleys,Inshore,2019,7,P3200451.JPG,9,0,2,0,0,14,0,0
McAuleys,Inshore,2019,7,P3200452.JPG,12,0,0,0,0,13,0,0
McAuleys,Inshore,2019,7,P3200453.JPG,1,0,23,1,0,0,0,0
Corindi,Inshore,2019,1,P3220008.JPG,10,0,3,3,5,0,4,0
Corindi,Inshore,2019,1,P3220009.JPG,9,2,0,4,9,0,1,0
Corindi,Inshore,2019,1,P3220011.JPG,5,0,18,2,0,0,0,0
Corindi,Inshore,2019,1,P3220012.JPG,4,0,18,3,0,0,0,0
Corindi,Inshore,2019,1,P3220013.JPG,0,0,25,0,0,0,0,0
Corindi,Inshore,2019,1,P3220014.JPG,11,0,12,2,0,0,0,0
Corindi,Inshore,2019,1,P3220016.JPG,8,0,14,3,0,0,0,0
Corindi,Inshore,2019,1,P3220017.JPG,5,0,20,0,0,0,0,0
Corindi,Inshore,2019,1,P3220018.JPG,2,0,23,0,0,0,0,0
Corindi,Inshore,2019,1,P3220019.JPG,1,0,22,2,0,0,0,0
Corindi,Inshore,2019,2,P3220021.JPG,8,2,0,5,6,0,4,0
Corindi,Inshore,2019,2,P3220023.JPG,4,0,19,2,0,0,0,0
Corindi,Inshore,2019,2,P3220024.JPG,12,2,3,8,0,0,0,0
Corindi,Inshore,2019,2,P3220025.JPG,17,3,5,0,0,0,0,0
Corindi,Inshore,2019,2,P3220026.JPG,5,14,0,2,1,3,0,0
Corindi,Inshore,2019,2,P3220027.JPG,10,6,4,3,2,0,0,0
Corindi,Inshore,2019,2,P3220029.JPG,7,7,0,7,3,0,1,0
Corindi,Inshore,2019,2,P3220030.JPG,1,0,18,6,0,0,0,0
Corindi,Inshore,2019,2,P3220031.JPG,0,0,23,2,0,0,0,0
Corindi,Inshore,2019,3,P3220033.JPG,0,0,21,4,0,0,0,0
Corindi,Inshore,2019,3,P3220034.JPG,7,11,0,3,4,0,0,0
Corindi,Inshore,2019,3,P3220035.JPG,6,0,13,5,0,0,1,0
Corindi,Inshore,2019,3,P3220037.JPG,11,8,0,3,3,0,0,0
Corindi,Inshore,2019,3,P3220038.JPG,7,10,0,1,3,0,4,0
Corindi,Inshore,2019,3,P3220039.JPG,16,0,0,5,1,0,3,0
Corindi,Inshore,2019,3,P3220041.JPG,10,0,13,2,0,0,0,0
Corindi,Inshore,2019,3,P3220042.JPG,17,2,0,3,0,2,1,0
Corindi,Inshore,2019,3,P3220043.JPG,1,0,22,2,0,0,0,0
Corindi,Inshore,2019,3,P3220044.JPG,13,0,8,3,0,0,1,0
Corindi,Inshore,2019,4,P3220046.JPG,4,0,21,0,0,0,0,0
Corindi,Inshore,2019,4,P3220047.JPG,2,0,20,3,0,0,0,0
Corindi,Inshore,2019,4,P3220048.JPG,1,0,20,4,0,0,0,0
Corindi,Inshore,2019,4,P3220049.JPG,0,0,22,3,0,0,0,0
Corindi,Inshore,2019,4,P3220050.JPG,9,1,3,8,0,1,3,0
Corindi,Inshore,2019,4,P3220051.JPG,10,1,0,3,9,0,2,0
Corindi,Inshore,2019,4,P3220052.JPG,5,0,14,5,0,0,1,0
Corindi,Inshore,2019,4,P3220053.JPG,11,0,6,7,0,1,0,0
Corindi,Inshore,2019,4,P3220054.JPG,11,0,9,3,0,1,1,0
Corindi,Inshore,2019,5,P3220056.JPG,0,0,22,3,0,0,0,0
Corindi,Inshore,2019,5,P3220057.JPG,5,0,0,0,0,20,0,0
Corindi,Inshore,2019,5,P3220058.JPG,14,0,5,0,0,3,3,0
Corindi,Inshore,2019,5,P3220061.JPG,0,0,25,0,0,0,0,0
Corindi,Inshore,2019,5,P3220062.JPG,10,0,14,0,0,0,1,0
Corindi,Inshore,2019,5,P3220064.JPG,14,0,0,1,0,0,10,0
Corindi,Inshore,2019,6,P3220066.JPG,10,1,8,2,0,0,4,0
Corindi,Inshore,2019,6,P3220067.JPG,13,0,11,1,0,0,0,0
Corindi,Inshore,2019,6,P3220070.JPG,12,0,10,2,0,0,1,0
Corindi,Inshore,2019,6,P3220071.JPG,3,4,17,1,0,0,0,0
Corindi,Inshore,2019,6,P3220072.JPG,3,0,18,4,0,0,0,0
Corindi,Inshore,2019,6,P3220073.JPG,2,0,2,2,1,18,0,0
Corindi,Inshore,2019,6,P3220074.JPG,2,0,0,0,0,23,0,0
Corindi,Inshore,2019,6,P3220075.JPG,5,0,15,5,0,0,0,0
Corindi,Inshore,2019,6,P3220077.JPG,0,0,23,2,0,0,0,0
Corindi,Inshore,2019,7,P3220080.JPG,15,2,3,2,0,0,3,0
Corindi,Inshore,2019,7,P3220081.JPG,5,0,12,4,0,1,3,0
Corindi,Inshore,2019,7,P3220082.JPG,0,0,22,3,0,0,0,0
Corindi,Inshore,2019,7,P3220083.JPG,1,0,16,8,0,0,0,0
Corindi,Inshore,2019,7,P3220084.JPG,12,0,5,4,1,3,0,0
Corindi,Inshore,2019,7,P3220085.JPG,0,0,20,5,0,0,0,0
Corindi,Inshore,2019,7,P3220088.JPG,12,0,12,1,0,0,0,0
Corindi,Inshore,2019,7,P3220090.JPG,6,8,7,4,0,0,0,0
Corindi,Inshore,2019,7,P3220096.JPG,14,0,11,0,0,0,0,0
Bare_Bluff,Inshore,2019,1,P3210282.JPG,13,0,7,0,1,1,3,0
Bare_Bluff,Inshore,2019,1,P3210283.JPG,9,0,2,5,9,0,0,0
Bare_Bluff,Inshore,2019,1,P3210284.JPG,10,0,8,6,1,0,0,0
Bare_Bluff,Inshore,2019,1,P3210286.JPG,0,0,24,1,0,0,0,0
Bare_Bluff,Inshore,2019,1,P3210287.JPG,1,0,9,0,0,15,0,0
Bare_Bluff,Inshore,2019,1,P3210288.JPG,6,0,2,4,0,13,0,0
Bare_Bluff,Inshore,2019,1,P3210289.JPG,0,0,21,0,0,4,0,0
Bare_Bluff,Inshore,2019,2,P3210291.JPG,0,0,21,4,0,0,0,0
Bare_Bluff,Inshore,2019,2,P3210292.JPG,3,0,14,6,0,2,0,0
Bare_Bluff,Inshore,2019,2,P3210293.JPG,3,0,18,4,0,0,0,0
Bare_Bluff,Inshore,2019,2,P3210295.JPG,2,0,18,5,0,0,0,0
Bare_Bluff,Inshore,2019,2,P3210296.JPG,1,0,15,9,0,0,0,0
Bare_Bluff,Inshore,2019,2,P3210297.JPG,1,0,14,4,1,5,0,0
Bare_Bluff,Inshore,2019,2,P3210298.JPG,6,0,0,3,4,12,0,0
Bare_Bluff,Inshore,2019,2,P3210299.JPG,0,0,12,1,0,12,0,0
Bare_Bluff,Inshore,2019,2,P3210300.JPG,11,0,3,3,3,0,5,0
Bare_Bluff,Inshore,2019,2,P3210301.JPG,2,0,2,5,5,11,0,0
Bare_Bluff,Inshore,2019,3,P3210303.JPG,12,0,0,0,9,4,0,0
Bare_Bluff,Inshore,2019,3,P3210304.JPG,0,0,18,2,0,5,0,0
Bare_Bluff,Inshore,2019,3,P3210305.JPG,16,0,0,6,0,2,1,0
Bare_Bluff,Inshore,2019,3,P3210306.JPG,10,0,12,2,0,0,1,0
Bare_Bluff,Inshore,2019,3,P3210308.JPG,2,0,9,5,0,9,0,0
Bare_Bluff,Inshore,2019,3,P3210309.JPG,7,0,5,8,0,3,2,0
Bare_Bluff,Inshore,2019,3,P3210310.JPG,2,0,11,6,0,6,0,0
Bare_Bluff,Inshore,2019,3,P3210311.JPG,2,0,20,2,1,0,0,0
Bare_Bluff,Inshore,2019,3,P3210312.JPG,3,0,20,2,0,0,0,0
Bare_Bluff,Inshore,2019,3,P3210313.JPG,7,0,6,4,6,0,2,0
Bare_Bluff,Inshore,2019,4,P3210315.JPG,0,0,0,0,0,25,0,0
Bare_Bluff,Inshore,2019,4,P3210316.JPG,1,0,0,1,14,9,0,0
Bare_Bluff,Inshore,2019,4,P3210317.JPG,10,0,0,2,9,4,0,0
Bare_Bluff,Inshore,2019,4,P3210318.JPG,0,0,1,1,11,12,0,0
Bare_Bluff,Inshore,2019,4,P3210319.JPG,7,0,11,2,1,2,2,0
Bare_Bluff,Inshore,2019,4,P3210321.JPG,11,0,10,2,2,0,0,0
Bare_Bluff,Inshore,2019,4,P3210322.JPG,0,0,15,3,3,2,2,0
Bare_Bluff,Inshore,2019,4,P3210323.JPG,11,0,6,7,0,0,1,0
Bare_Bluff,Inshore,2019,4,P3210324.JPG,10,0,2,3,7,0,2,1
Bare_Bluff,Inshore,2019,5,P3210326.JPG,6,0,2,7,6,0,4,0
Bare_Bluff,Inshore,2019,5,P3210327.JPG,10,0,5,6,3,0,1,0
Bare_Bluff,Inshore,2019,5,P3210328.JPG,4,0,17,4,0,0,0,0
Bare_Bluff,Inshore,2019,5,P3210329.JPG,0,0,15,10,0,0,0,0
Bare_Bluff,Inshore,2019,5,P3210330.JPG,7,0,15,3,0,0,0,0
Bare_Bluff,Inshore,2019,5,P3210331.JPG,12,0,3,4,3,3,0,0
Bare_Bluff,Inshore,2019,5,P3210332.JPG,3,0,7,2,12,0,1,0
Bare_Bluff,Inshore,2019,5,P3210334.JPG,3,0,9,7,3,2,1,0
Bare_Bluff,Inshore,2019,6,P3210336.JPG,2,0,10,11,0,0,2,0
Bare_Bluff,Inshore,2019,6,P3210337.JPG,2,0,8,7,5,0,3,0
Bare_Bluff,Inshore,2019,6,P3210338.JPG,14,0,1,6,4,0,0,0
Bare_Bluff,Inshore,2019,6,P3210339.JPG,9,0,1,7,5,0,3,0
Bare_Bluff,Inshore,2019,6,P3210340.JPG,14,0,0,2,3,1,5,0
Bare_Bluff,Inshore,2019,6,P3210341.JPG,11,0,1,4,7,0,2,0
Bare_Bluff,Inshore,2019,6,P3210342.JPG,2,0,13,2,0,3,5,0
Bare_Bluff,Inshore,2019,7,P3210344.JPG,8,0,0,5,0,12,0,0
Bare_Bluff,Inshore,2019,7,P3210345.JPG,5,0,5,7,5,0,3,0
Bare_Bluff,Inshore,2019,7,P3210346.JPG,8,0,3,2,5,0,7,0
Bare_Bluff,Inshore,2019,7,P3210347.JPG,2,0,10,8,2,1,2,0
Bare_Bluff,Inshore,2019,7,P3210348.JPG,9,0,0,5,8,0,3,0
Bare_Bluff,Inshore,2019,7,P3210349.JPG,9,0,0,8,3,3,2,0
Bare_Bluff,Inshore,2019,7,P3210350.JPG,4,0,0,5,9,1,6,0
Bare_Bluff,Inshore,2019,7,P3210351.JPG,1,0,8,8,3,0,5,0
Bare_Bluff,Inshore,2019,7,P3210352.JPG,7,0,0,4,9,0,5,0
Split,Midshelf,2019,1,SplitP3200455.JPG,14,9,0,0,0,1,1,0
Split,Midshelf,2019,1,SplitP3200456.JPG,1,17,0,0,0,0,6,1
Split,Midshelf,2019,1,SplitP3200457.JPG,3,6,0,0,0,0,10,6
Split,Midshelf,2019,1,SplitP3200458.JPG,6,0,0,0,0,0,19,0
Split,Midshelf,2019,1,SplitP3200459.JPG,12,2,0,1,0,0,9,1
Split,Midshelf,2019,1,SplitP3200460.JPG,10,4,0,1,0,1,6,3
Split,Midshelf,2019,1,SplitP3200461.JPG,4,5,0,0,1,0,13,2
Split,Midshelf,2019,1,SplitP3200462.JPG,12,5,0,0,0,4,4,0
Split,Midshelf,2019,1,SplitP3200463.JPG,10,0,0,0,0,1,14,0
Split,Midshelf,2019,1,SplitP3200464.JPG,4,0,0,1,0,0,19,1
Split,Midshelf,2019,1,SplitP3200465.JPG,15,1,0,0,0,0,9,0
Split,Midshelf,2019,2,SplitP3200467.JPG,11,4,0,0,0,7,2,1
Split,Midshelf,2019,2,SplitP3200468.JPG,8,0,0,2,0,1,14,0
Split,Midshelf,2019,2,SplitP3200469.JPG,7,2,0,1,6,2,7,0
Split,Midshelf,2019,2,SplitP3200470.JPG,3,0,0,1,13,4,4,0
Split,Midshelf,2019,2,SplitP3200471.JPG,15,0,0,1,2,0,4,3
Split,Midshelf,2019,2,SplitP3200472.JPG,4,0,0,4,9,0,8,0
Split,Midshelf,2019,2,SplitP3200473.JPG,6,0,0,0,7,0,12,0
Split,Midshelf,2019,2,SplitP3200474.JPG,11,0,0,1,9,0,3,1
Split,Midshelf,2019,2,SplitP3200475.JPG,7,0,0,1,11,3,3,0
Split,Midshelf,2019,3,SplitP3200479.JPG,17,0,0,2,3,0,3,0
Split,Midshelf,2019,3,SplitP3200480.JPG,22,0,0,1,0,0,2,0
Split,Midshelf,2019,3,SplitP3200482.JPG,4,14,0,0,0,0,7,0
Split,Midshelf,2019,3,SplitP3200483.JPG,3,0,0,0,0,0,22,0
Split,Midshelf,2019,3,SplitP3200484.JPG,4,0,0,0,2,0,19,0
Split,Midshelf,2019,3,SplitP3200485.JPG,5,0,0,2,0,0,18,0
Split,Midshelf,2019,4,SplitP3200495.JPG,15,3,0,0,0,4,3,0
Split,Midshelf,2019,4,SplitP3200496.JPG,15,0,0,1,0,0,9,0
Split,Midshelf,2019,4,SplitP3200497.JPG,7,0,0,2,1,0,15,0
Split,Midshelf,2019,4,SplitP3200498.JPG,11,1,0,2,0,0,11,0
Split,Midshelf,2019,4,SplitP3200499.JPG,0,1,0,2,0,1,21,0
Split,Midshelf,2019,4,SplitP3200500.JPG,0,0,0,2,0,0,23,0
Surgeons,Midshelf,2019,1,P3190553.JPG,14,8,0,2,0,1,0,0
Surgeons,Midshelf,2019,1,P3190554.JPG,11,6,0,1,0,0,7,0
Surgeons,Midshelf,2019,1,P3190555.JPG,13,6,0,1,0,0,4,1
Surgeons,Midshelf,2019,1,P3190556.JPG,17,3,0,2,1,0,2,0
Surgeons,Midshelf,2019,1,P3190557.JPG,8,12,0,1,0,3,1,0
Surgeons,Midshelf,2019,1,P3190558.JPG,12,1,0,0,0,0,11,1
Surgeons,Midshelf,2019,1,P3190559.JPG,20,2,0,1,1,0,1,0
Surgeons,Midshelf,2019,2,P3190560.JPG,6,5,0,14,0,0,0,0
Surgeons,Midshelf,2019,2,P3190561.JPG,19,0,0,6,0,0,0,0
Surgeons,Midshelf,2019,2,P3190562.JPG,9,1,0,1,0,0,12,2
Surgeons,Midshelf,2019,2,P3190563.JPG,6,0,0,2,0,0,17,0
Surgeons,Midshelf,2019,2,P3190564.JPG,13,3,0,1,1,5,2,0
Surgeons,Midshelf,2019,2,P3190565.JPG,10,0,0,3,1,1,5,5
Surgeons,Midshelf,2019,2,P3190566.JPG,11,1,0,3,0,0,10,0
Surgeons,Midshelf,2019,2,P3190567.JPG,17,5,0,0,0,0,2,1
Surgeons,Midshelf,2019,2,P3190568..JPG,17,1,0,2,0,0,5,0
Surgeons,Midshelf,2019,3,P3190569..JPG,21,0,0,2,0,0,1,1
Surgeons,Midshelf,2019,3,P3190570.JPG,25,0,0,0,0,0,0,0
Surgeons,Midshelf,2019,3,P3190571.JPG,7,11,0,3,0,0,4,0
